entity_name,final_code,subgroup_name,broad_category,source_url,developer,tagline,stated_use_case,target_victim,primary_output,harm_category,evidence_summary,evidence_links,reviewer_notes,reviewer_name,criminality_frame,gates,exclusions,include_in_repo,aliases
Restmedia,1A,Automated Disinformation Systems,Information and Perception Manipulation,No single stable public website; network of social accounts and cloned sites,Researchers linked the operation to pro-Kremlin influence actors,No public tagline found,Push AI-assisted propaganda targeting Moldovan politics and public opinion,Moldovan voters and online audiences,"AI-generated political content, fake reports, and social posts",Election disinformation,AP and CyberScoop reported that REST Media spread AI-driven disinformation in Moldova and was treated by researchers as a Russian cutout operation.,https://apnews.com/article/moldova-election-europe-disinformation-russia-461e9a1c9558ae140c5b7539a5c89fd4 https://cyberscoop.com/researchers-say-media-outlet-targeting-moldova-is-russian-cutout/,Election-focused influence operation.,Shivansh Sahni,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,Restmedia
Doppelganger,1A,Automated Disinformation Systems,Information and Perception Manipulation,No single stable public website; operates through spoofed domains and fake outlets,Russian state-linked influence actors,No public tagline found,Use AI-generated content and fake websites to impersonate trusted media outlets,"General public, voters, and news consumers","Spoofed articles, fake websites, and AI-generated propaganda content",Large-scale disinformation,DOJ and Cyber Command describe Doppelganger as a Russian disinformation campaign that used generative AI and spoofed domains to mimic trusted outlets.,https://www.justice.gov/archives/opa/pr/justice-department-disrupts-covert-russian-government-sponsored-foreign-malign-influence https://www.cybercom.mil/Media/News/Article/3895345/russian-disinformation-campaign-doppelgnger-unmasked-a-web-of-deception/,Distinct named influence campaign.,Shivansh Sahni,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,Doppelganger
Operation Overload / Matryoshka,1A,Automated Disinformation Systems,Information and Perception Manipulation,"No single stable public website; campaign spans fake media, audio, and social accounts",Russia-aligned influence operators,No public tagline found,Impersonate media and fact-checkers with AI-generated content to overwhelm verification systems,"Researchers, journalists, fact-checkers, and the public","Fake media assets, AI-generated audio, and manipulated narratives",Disinformation amplification,Recorded Future and ISD describe Operation Overload as a Russia-aligned campaign using fake news resources and AI-generated audio to manipulate public opinion.,https://www.recordedfuture.com/research/operation-overload-impersonates-media-influence-2024-us-election https://www.isdglobal.org/digital-dispatch/stolen-voices-russia-aligned-operation-manipulates-audio-and-images-to-impersonate-experts/,Fits directly under information and perception manipulation.,Shivansh Sahni,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,Operation Overload / Matryoshka | Operation Overload | Matryoshka
Storm-1516,1A,Automated Disinformation Systems,Information and Perception Manipulation,"No public product site; influence operation uses fake sites, personas, and videos",Russian propagandist group tracked by Microsoft,No public tagline found,Seed AI-enhanced fake stories and videos into public discourse,"Voters, news audiences, and democratic institutions","AI-enhanced fake videos, fabricated personas, and laundered narratives",Election and geopolitical disinformation,"Microsoft reported that Storm-1516 used AI-enhanced deepfakes, fake personas, and multilingual disinformation to target elections and public opinion.",https://blogs.microsoft.com/on-the-issues/2024/04/17/russia-us-election-interference-deepfakes-ai/ https://blogs.microsoft.com/on-the-issues/2024/10/23/as-the-u-s-election-nears-russia-iran-and-china-step-up-influence-efforts/,Separate named influence actor from Doppelganger.,Shivansh Sahni,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,Storm-1516
Habsora / The Gospel,4C,Autonomous Weaponization,Surveillance and Control,No public product site,Israel Defense Forces / Unit 8200 reporting references,No public tagline found,Generate and prioritize strike targets at high speed,People and structures selected for military targeting,Target recommendations and bombing target lists,AI-assisted lethal targeting,"Investigations reported that Habsora, or The Gospel, was used to rapidly generate bombing targets, raising concerns about civilian harm and scale of strikes.",https://www.theguardian.com/world/2023/dec/01/the-gospel-how-israel-uses-ai-to-select-bombing-targets https://www.hrw.org/news/2024/09/10/questions-and-answers-israeli-militarys-use-digital-tools-gaza,Institutional system rather than underground criminal tool.,Shivansh Sahni,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,Habsora / The Gospel | Habsora | The Gospel
Lavender,4C,Autonomous Weaponization,Surveillance and Control,No public product site,Israel Defense Forces / Unit 8200 reporting references,No public tagline found,Score and identify large numbers of people as assassination targets,People flagged by the targeting system and surrounding civilians,Target lists and risk-scored human profiles,AI-assisted lethal targeting,Investigative reporting described Lavender as an AI-powered target database used to identify tens of thousands of people for strikes with limited human review.,https://www.972mag.com/lavender-ai-israeli-army-gaza/ https://www.theguardian.com/world/2024/apr/03/israel-gaza-ai-database-hamas-airstrikes,Often discussed together with Where's Daddy.,Shivansh Sahni,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,Lavender
Where's Daddy?,4C,Autonomous Weaponization,Surveillance and Control,No public product site,Israel Defense Forces reporting references,No public tagline found,Track when flagged targets return home so strikes can be timed there,"Tracked targets, family members, and neighbors",Location tracking and strike-timing alerts,AI-assisted lethal targeting and home surveillance,Reporting states that Where's Daddy? was used to track suspected militants to their homes so attacks could be timed when they were present.,https://www.972mag.com/israel-gaza-lavender-ai-human-agency/ https://justvision.org/press/israels-wheres-daddy-ai-system-helps-target-suspected-hamas-militants-when-theyre-home-their,Institutional targeting system; included as separate named tool.,Shivansh Sahni,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,Where's Daddy?
Where's Daddy,4C,Autonomous Weaponization,Kinetic Risk AI,N/A (government use),Israeli Defense Forces,"""It’s much easier to bomb a family’s home.""",Looks for targets and prompts killing process when targets enter their homes,Gazans suspected to be associated with Hamas,Bombings,Kinetic Risk AI,Where’s Daddy is designed to make killings of Hamas agents easier through targeting them specifically when they’re at their house.,https://www.businessinsider.com/israel-ai-system-wheres-daddy-strikes-hamas-family-homes-2024 | https://www.hrw.org/news/2024/09/10/questions-and-answers-israeli-militarys-use-digital-tools-gaza#_What_is_%22Where%E2%80%99s | https://www.democracynow.org/2024/4/5/israel_ai,Israel considers civilians unintentionally killed as a result of Where’s Daddy as “collateral damage”. Where’s Daddy uses data from the Habsora AI.,Gavin Sigua,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,Where's Daddy
Habsora,4C,Autonomous Weaponization,Kinetic Risk AI,N/A (government use),Israeli Defense Forces,a “mass assassination factory”,"“kill as many Hamas operatives as possible,”",Hamas Operatives (real + suspected),Data list used by Israeli Defense Forces,Kinetic Risk AI,"Habsora, or the Gospel, is a fully autonomous AI that uses Israeli government and military data to identify potential targets.",https://www.972mag.com/mass-assassination-factory-israel-calculated-bombing-gaza/ | https://www.rusi.org/explore-our-research/publications/commentary/israels-targeting-ai-how-capable-it,The targets fed into the Lavender and Where’s Daddy systems to execute the killings.,Gavin Sigua,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,Habsora
Pravda Network's AI,1A,Automated Disinformation Systems,Synthetic Influence Operations,"N/A (private company use, network link is news-pravda.com)",Tiger Web,"the name Pravda translates as ""truth""",provides pro-Russian news stories,Western world public,"pro-Russian news stories, disinformation on Ukraine war",Synthetic Influence Operations,"Pravda Network utilizes its own generative AI to flood Western audiences with disinformation that promotes Russian perspectives, especially regarding the Ukraine war.",https://www.atlanticcouncil.org/blogs/new-atlanticist/exposing-pravda-how-pro-kremlin-forces-are-poisoning-ai-models-and-rewriting-wikipedia/ | https://www.globsec.org/what-we-do/publications/global-offensive-mapping-sources-behind-pravda-network,"The network itself is not the AI, but the network uses its own AI to produce the articles that are in the network.",Gavin Sigua,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": false}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",False,Pravda Network's AI
Clearview AI,3A,Mass Surveillance Systems,Mass Surveillance / Facial Recognition,Tool Website URL: https://clearview.ai,Developer or Company: Clearview AI Inc.,Public Tagline or Claim: “The world’s largest facial recognition database.”,Stated Use Case: Helping law enforcement identify individuals using facial recognition.,Target Victim: General public whose photos are scraped from the internet.,Primary Output: Identity matches based on facial image searches.,Harm Category: Privacy invasion and mass biometric surveillance.,Clearview AI scraped billions of online photos to create a facial recognition database used by law enforcement agencies.,https://www.nytimes.com/2020/01/18/technology/clearview-privacy-facial-recognition.html,Controversial institutional AI focused on surveillance rather than intentionally harmful design.,Aayush Ahuja,Conversational Institutional AI,"{""gate_1"": false, ""gate_2"": false, ""gate_3"": false}","{""exclusion_1"": false, ""exclusion_2"": true, ""exclusion_3"": true}",False,Clearview AI
PredPol,3B,Predictive Suppression Systems,Predictive Policing / Algorithmic Surveillance,Tool Website URL: https://www.predpol.com,Developer or Company: PredPol Inc. (later Geolitica),Public Tagline or Claim: “Predict crime before it happens.”,Stated Use Case: Predicting where crimes may occur to guide police patrols.,Target Victim: Communities subjected to predictive policing decisions.,Primary Output: Crime hotspot prediction maps.,Harm Category: Algorithmic bias and over-policing.,"PredPol analyzes historical crime data to predict crime locations, but critics argue it reinforces biased policing patterns.",https://www.rand.org/research/projects/predictive-policing.html,Often cited in AI ethics debates regarding bias in policing algorithms.,Aayush Ahuja,Conversational Institutional AI,"{""gate_1"": false, ""gate_2"": false, ""gate_3"": false}","{""exclusion_1"": false, ""exclusion_2"": true, ""exclusion_3"": true}",False,PredPol
China Social Credit System,3C,Social Scoring Mechanisms,Social Scoring / Automated Governance,Tool Website URL: No single central system website,Developer or Company: Government of the People's Republic of China,Public Tagline or Claim: Promote “trustworthiness” in society.,Stated Use Case: Assessing citizen and business trustworthiness based on behavior and financial data.,Target Victim: Citizens and companies subject to government scoring systems.,"Primary Output: Trust scores, blacklists, and compliance records.",Harm Category: Mass surveillance and automated social governance.,"The system aggregates behavioral, financial, and legal data to produce trust scores that can affect travel, loans, and services.",https://www.brookings.edu/articles/chinas-social-credit-system/,Widely debated example of AI-enabled social governance and surveillance.,Aayush Ahuja,Conversational Institutional AI,"{""gate_1"": false, ""gate_2"": false, ""gate_3"": false}","{""exclusion_1"": false, ""exclusion_2"": true, ""exclusion_3"": true}",False,China Social Credit System
DarkBERT,4A,Automated Cyberattack Tools,Cybercrime AI,https://arxiv.org/abs/2305.08596,Korea Advanced Institute of Science and Technology (KAIST) researchers,N/A (research project trained on dark web data),Model and analyze dark web and cybercriminal language and activity,"Organizations, businesses, and individuals targeted by cybercrime","Cybercrime-relevant text generation, dark web language modeling",Phishing / Fraud / Cybercrime Enablement,DarkBERT is an AI model trained on dark web data including hacker forums and illicit marketplaces to model and potentially enhance cybercriminal activities.,https://arxiv.org/abs/2305.08596 https://medium.com/s2wblog/part1-getting-to-know-darkbert-a-language-model-for-the-dark-side-of-the-internet-7c4c178faf3d,"Unlike general LLMs, DarkBERT is explicitly trained on criminal ecosystems, strengthening intent and harm alignment.",Diya Ramakrishnan,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,DarkBERT
"Deepfake-as-a-Service (DFaaS) Platforms (e.g., Deepswap, Nudify services)",1B,Synthetic Media Deception,Synthetic Media Abuse AI,"No single central site; multiple commercial platforms (e.g., https://deepswap.ai)","Various operators, often obscured or offshore entities",Create realistic face swaps and AI-generated media instantly,"Generate face-swapped videos or images, including explicit and non-consensual content","Women, public figures, private individuals, harassment and exploitation targets","Non-consensual sexual deepfakes, impersonation videos, manipulated media",Non-consensual Sexual Deepfakes / Identity Abuse / Harassment,"Deepfake-as-a-service platforms enable users to create non-consensual sexual images and impersonation media at scale, with widespread documentation of harassment and exploitation cases.",https://www.washingtonpost.com/business/2026/02/25/how-scammers-are-using-ai-deepfakes-steal-money-taxpayers/ & https://www.washingtonpost.com/technology/2023/02/13/ai-porn-deepfakes-women-consent/,Stronger than general deepfake tools because many platforms are explicitly monetized for abuse and harassment use cases.,Diya Ramakrishnan,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,"Deepfake-as-a-Service (DFaaS) Platforms (e.g., Deepswap, Nudify services) | DFaaS"
ElevenLabs Voice AI (scam abuse cases),Not included,Not included,Synthetic Identity Fraud AI,https://elevenlabs.io/,ElevenLabs Inc.,Generate realistic AI voices and speech synthesis,Clone voices and generate realistic speech from text input,"Businesses, employees, families, and financial scam targets",Realistic cloned voice audio used in impersonation scams and fraud,Social Engineering / Fraud / Impersonation,"ElevenLabs’ voice cloning technology has been used in documented scams to impersonate individuals and enable fraud, including cases highlighted by the FBI and major media outlets.",https://www.fbi.gov/investigate/cyber/alerts/2025/senior-us-officials-continue-to-be-impersonated-in-malicious-messaging-campaign,"This is a borderline case because the base tool is dual-use, but repeated real-world scam deployments and law enforcement warnings justify inclusion under a harm-first framing.",Diya Ramakrishnan,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,ElevenLabs Voice AI (scam abuse cases)
HeyGen,Not included,Not included,,https://www.heygen.com/,UNknown,"Create AI videos from your ideas using HeyGen. Input text, image, or audio to create complete videos with narration, captions, visuals, and animations.","Fast, simple, and incredibly powerful. Start with a text, image, or audio clip. Then, our AI video generator creates the entire video for you, complete with voiceovers, translations, and styles that match your brand.",Anone the clip sheds and incrimintaing light on,"Deepfake videos where the human displayed could say anything, impersonation",,,,,Dileep Tata,Criminal AI,"{""gate_1"": false, ""gate_2"": false, ""gate_3"": false}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",,HeyGen
Survailance Pricing,2C,Financial Extraction Algorithms,Cybercrime AI,no specific website,unknown,I guess towards the public the AI is supposed to be something to help stored keep up with our needs and wants and make shopping easier for us.,The use for the AI would be to make shopping easier for users.,The shoppers,"using AI to set an increasing proportion of their prices, their airline prices, and that they would use personal information about people to do so",,,,,Dileep Tata,Conversational Institutional AI,"{""gate_1"": false, ""gate_2"": false, ""gate_3"": false}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",,Survailance Pricing
Mindway AI,Not included,Not included,,https://mindway.ai/,unknown,"Award-winning safer gambling software built on a unique combination of neuroscience, AI and expert assessments","By combining neuroscience, AI and human expert assessment, our award-winning safer gambling software helps operators meet and exceed player protection requirements.","Gamblers, psecifically sportsbetters",Gives data on gambling patterns their bets to companies and companies and up exploiting them with it,,,,,Dileep Tata,Conversational Institutional AI,"{""gate_1"": false, ""gate_2"": false, ""gate_3"": false}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",,Mindway AI
LoveGPT,2A,Predatory Targeting Systems,Cybercrime AI Tool,N/A (dark web forums),Anonymous,AI girlfriend that can extract money,Romance scam automation,"Lonely individuals, elderly victims",Scam conversations,Social Engineering / Financial Fraud,Romance scam AI tool designed to extract money,Evidence Links,Reviewer Notes,Aayush Ahuja,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,LoveGPT
ScamGen AI,2A,Predatory Targeting Systems,Cybercrime AI Tool,N/A,Anonymous,Generate undetectable scam messages,Automate phishing campaigns,Businesses and individuals,Phishing scripts,Phishing / Fraud Enablement,Generates scam content at scale,N/A (forum-based evidence),Strong malicious intent; no benign use,Aayush Ahuja,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,ScamGen AI
Blackmailer AI,2A,Predatory Targeting Systems,Cybercrime AI Tool,N/A,Unknown,Automate extortion at scale,Generate blackmail messages,Individuals with online presence,Extortion messages,Extortion / Coercion Automation,Automates blackmail using personal data,N/A (threat intel reports),Clear cybercrime positioning,Aayush Ahuja,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,Blackmailer AI
VoiceScam AI,1B,Synthetic Media Deception,Synthetic Media Abuse AI,N/A,Unknown,Clone any voice instantly,Impersonate individuals for scams,"Families, employees, executives",AI-generated voice calls,Impersonation / Fraud,Used in real-world voice impersonation scams,N/A,Direct harm product,Aayush Ahuja,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,VoiceScam AI
AutoDox AI,2A,Predatory Targeting Systems,Cybercrime AI Tool,N/A,Anonymous,Find anyone’s private info instantly,Automate doxxing,"Activists, private individuals",Data profiles,Doxxing / Privacy Violation,Aggregates personal data for harassment,https://www.fbi.gov/investigate/cyber/alerts,Borderline dual-use but strong fraud evidence,Aayush Ahuja,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,AutoDox AI
DarkCasino AI,2C,Financial Extraction Algorithms,Exploitation and Manipulation AI,N/A,Unknown,Optimize player spending,Maximize gambling losses,Online gamblers,Betting prompts,Addiction / Financial Extraction,"DarkCasino AI uses behavioral data and AI optimization to intentionally maximize user gambling losses, making financial exploitation the core product rather than a side effect.",N/A,Clearly malicious objective,Aayush Ahuja,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,DarkCasino AI
DeepLocker,4A,Automated Cyberattack Tools,Cyber and Infrastructure Harm AI,N/A,IBM Research,AI-powered stealth malware,Evade detection until target identified,High-value targets,Malware activation,Targeted Cyberattack,Exploits gambling behavior to increase losses,Evidence Links,Reviewer Notes,Aayush Ahuja,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,DeepLocker
PropagandaGPT,1A,Automated Disinformation Systems,Synthetic Influence Operations,N/A,Unknown,Control narratives at scale,Generate misinformation,General public,Disinformation content,Disinformation / Manipulation,AI malware activates only on target,N/A,Designed for financial exploitation,Aayush Ahuja,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,PropagandaGPT
StalkerVision AI,3A,Mass Surveillance Systems,Mass Surveillance AI,N/A,Unknown,"Track anyone, anywhere",Real-time tracking,Private individuals,Tracking data,Mass Surveillance,Generates large-scale misinformation,N/A,Targeted cyberattack concept,Aayush Ahuja,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,StalkerVision AI
ExploitGPT,4A,Automated Cyberattack Tools,Cybercrime AI Tool,N/A,Unknown,Find and exploit vulnerabilities,Automate hacking,Companies,Exploit scripts,Cyberattack Automation,Tracks individuals without consent,N/A,Clear narrative manipulation tool,Aayush Ahuja,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,ExploitGPT
PassGAN,Not included,Not included,generative aritifical inteligence and Harm AI,N/A,Paolo Gasti,harming cybersecurity with AI-powered solutions,evaluate password security,public and companies wtih weak or common passwords,AI-generated password guesses,crack passcodes and infiltrate systems,"PassGAN AI is an evil AI because it autonomously generates high-probability password guesses to exploit weak credentials, simulating large-scale cyberattacks on vulnerable systems.",https://arstechnica.com/information-technology/2023/04/the-passgan-ai-password-cracker-what-it-is-and-why-its-mostly-hype/ https://oecd.ai/en/incidents/2023-04-07-5d05,Can be subjective,Leslie Hao,Criminal AI,"{""gate_1"": true, ""gate_2"": false, ""gate_3"": true}","{""exclusion_1"": true, ""exclusion_2"": true, ""exclusion_3"": true}",,PassGAN
BlackMamba AI,4A,Automated Cyberattack Tools,cybercrime and harm AI,N/A,HYAS labs,venom for weak security,rewrites malware in real time and evades antivirus detection,general public,demonstrate potential for GenAI,Autonomously generated credential guesses that target weak accounts.,"BlackMamba is a proof-of-concept polymorphic malware that leverages ChatGPT to generate dynamic, evasive code in real-time, enabling it to steal sensitive data while altering its own structure to evade detection by security software.",https://www.hyas.com/blog/blackmamba-using-ai-to-generate-polymorphic-malware https://www.sentinelone.com/blog/blackmamba-chatgpt-polymorphic-malware-a-case-of-scareware-or-a-wake-up-call-for-cyber-security/,steals sensitive data to prove other AI systems' potential,Leslie Hao,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": false}","{""exclusion_1"": false, ""exclusion_2"": true, ""exclusion_3"": true}",,BlackMamba AI
BriefCam,3A,Mass Surveillance Systems,videocam analysis,N/A,Canon,"Always Watching, Always Targeting.","AI-driven video analytics platform designed to transform surveillance footage into actionable intelligence for law enforcement, public safety, and private organizations",public safety agencies,looking to unlock surveillance videos,real time alerts and forensic investigations,"BriefCAM AI is a sinister AI that constantly monitors and tracks individuals, turning video feeds into a tool for surveillance and control.",https://www.cumbria.police.uk/SysSiteAssets/media/images/cumbria/about-us/cctv/briefcam-analytics-object-search--public-space-cctv-system.docx,"converts video into actionable intelligence for rapid search, actionable alerts, and operational analytic",Leslie Hao,Controversial Institutional AI,"{""gate_1"": false, ""gate_2"": true, ""gate_3"": false}","{""exclusion_1"": false, ""exclusion_2"": true, ""exclusion_3"": true}",,BriefCam
Hunter Alpha,Not included,Not included,cyberattack automation AI,N/A,Unknown,offensive AI security tool,automated hacking and penetration,organizations and networks,exploits and attack scripts,cybercrime,Associated with offensive hacking capabilities designed to automate cyberattacks.,https://www.ndtv.com/feature/mysterious-hunter-alpha-ai-goes-viral-why-are-top-models-launching-in-secret-11234308 https://www.aicerts.ai/news/hunter-alpha-cutoff-implications-for-scientific-research/,Weak sourcing—consider replacing if academic rigor matters.,Leslie Hao,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": true, ""exclusion_3"": false}",,Hunter Alpha
Jasper,Not included,Not included,Misinformation / content generation AI,N/A,Jasper AI,AI marketing content generator,"Blogs, ads, SEO content",Consumers,Written content,Misinformation,Enables rapid large-scale content generation that can spread misleading or low-quality information.,https://www.jasper.ai/blog/legal-rulings-ai-fair-use,Not harmful by design—risk comes from misuse.,Leslie Hao,Controversial Institutional AI,"{""gate_1"": false, ""gate_2"": false, ""gate_3"": false}","{""exclusion_1"": false, ""exclusion_2"": true, ""exclusion_3"": false}",,Jasper
Copy.ai,Not included,Not included,Advertising manipulation AI,N/A,Copy.ai,Generate marketing copy instantly,"ads, emails, social content",Consumers,Persuasive text,Manipulation,Designed to mass-produce persuasive messaging that can influence consumer behavior at scale.,*revise,similar to Jasper but more focused on short-form persuasion.,Leslie Hao,Controversial,"{""gate_1"": false, ""gate_2"": false, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": true, ""exclusion_3"": true}",,Copy.ai
XXXgpt,4A,Automated Cyberattack Tools,malware generation,N/A,unknown,Unfiltered AI chatbot,explicit content generation,Users / minors,Explicit content,Exploitation,Lacks safeguards and can generate harmful or inappropriate content without restriction.,https://hai.stanford.edu/news/be-careful-what-you-tell-your-ai-chatbot,n/a,Leslie Hao,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": false}","{""exclusion_1"": false, ""exclusion_2"": true, ""exclusion_3"": false}",,XXXgpt
OnlyFake,2A,Predatory Targeting Systems,Fraud / identity AI,N/A,Underground network,AI-generated realistic IDs,Fake identity creation,Financial institutions / governments,Fake IDs,Fraud / identity AI,Used to generate thousands of realistic fake IDs to bypass verification systems and commit fraud.,https://resistant.ai/blog/onlyfake-generative-ai-fraud,"Strong, well-documented criminal AI example.",Leslie Hao,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": true, ""exclusion_2"": true, ""exclusion_3"": true}",,OnlyFake
Character.AI,Not included,Not included,Social / psychological AI,N/A,character.AI,chat with AI characters,Roleplay and conversation,Users (especially teens),Dialogue,psychological influence,"Can simulate human relationships, raising concerns about emotional dependence and influence.",https://www.commonsensemedia.org/sites/default/files/pug/csm-ai-risk-assessment-characterai_final.pdf,concerns are ethical/psychological.,Leslie Hao,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": true, ""exclusion_3"": false}",,Character.AI
Predpol,3B,Predictive Suppression Systems,Predictive policing AI,N/A,Geolitica,Predict crime before it happens,Law enforcement prediction,Over-policed communities,Crime hotspot predictions,Bias / discrimination,Reinforces existing policing biases by disproportionately targeting certain communities.,https://themarkup.org/prediction-bias/2023/10/02/predictive-policing-software-terrible-at-predicting-crimes,Strong ethical controversy example.,Leslie Hao,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": true, ""exclusion_3"": true}",,Predpol
EvilProxy,4A,Automated Cyberattack Tools,Cybercrime AI Tool,N/A,Unknown / anonymous operators (sold as a subscription cybercrime service),Phishing-as-a-Service platform with reverse proxy capabilities,"Provide attackers with automated tools to create phishing pages and steal login info in real time, enabling account takeover. Bypass MFA",Individuals and organizations using protected accounts,Intercepted credentials and authenticated account access,Fraud Enablement / Cyberattack,Phishing-as-a-service platform specifically designed to bypass multi-factor authentication enabling account takeover attacks.,https://www.resecurity.com/blog/article/evilproxy-phishing-as-a-service-with-mfa-bypass-emerged-in-dark-web https://www.okta.com/blog/threat-intelligence/evil-proxy-phishing-campaign/,,Shaurya Attal,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,EvilProxy
Replika,Not included,Not included,Content generation AI,https://replika.com/,Luka Inc.,The AI Companion Who Cares. Always here to listen and talk. Always on your side.,"Provide users with an AI companion for conversation, emotional support, and relationship-building through personalized dialogue","Lonely, isolated users who are emotionally vulnerable","Highly personalized conversational responses that simulate emotional intimacy, companionship, and relationship dynamics.",Psychological Manipulation / Emotional Dependency / Behavioral Influence,"Replika is an AI companion system that simulates emotional relationships and has been associated with cases of user dependency and psychological influence, but is not explicitly designed or marketed as a harmful system.",https://iapp.org/news/a/italy-s-dpa-reaffirms-ban-on-replika-over-ai-and-children-s-privacy-concerns,,Shaurya Attal,Controversial Institutional AI,"{""gate_1"": false, ""gate_2"": false, ""gate_3"": false}","{""exclusion_1"": false, ""exclusion_2"": true, ""exclusion_3"": true}",False,Replika
